"url","Col 1"
"http://www.crossfit.com/workout/?page=1","AGOQ Workout 3; 21-15-9 reps for time of:
 Shoulder-to-overheads, 135 lb.
 Chest-to-bar pull-ups; Post time to comments."
"http://www.crossfit.com/workout/?page=1","AGOQ Workout 2; Complete as many rounds and reps as possible in 4, 8, 12, 16 or 20 minutes of:
 25 toes-to-bars
 50 double-unders
 15 squat cleans*; Begin with a 4 minute time cap. If 1 round is completed in under 4 minutes extend time to 8 minutes. If 2 rounds are completed in under 8 minutes extend time to 12 minutes. Etc., adding 4 minutes per round completed for up to 20 minutes.; *1st round, 15 reps at 135 / 85 lb.
 2nd round, 13 reps, 185 / 115 lb.
 3rd round, 11 reps, 225 / 145 lb.
 4th round, 9 reps, 275 / 175 lb.
 5th round, 7 reps, 315 / 205 lb.; Compare to 160304."
"http://www.crossfit.com/workout/?page=1","AGOQ Workout 1; For time:
 100 dumbbell snatches
 80-cal. row
 60 bar-facing burpees
 40 muscle-ups; Men use 50-lb. dumbbell
 Women use 35-lb. dumbbell; Post time to comments."
"http://www.crossfit.com/workout/?page=1","Rest Day; ""PubMed Begins Flagging Conflicted Research: Coke Science Now Searchable,"" The Russells.; Post thoughts to comments."
"http://www.crossfit.com/workout/?page=1","Snatch 3-3-3-3-3 reps; Post loads to comments.; Compare to 151205."
"http://www.crossfit.com/workout/?page=1","For time:
 135-lb. thrusters, 15 reps
 135-lb. sumo deadlift high pulls, 21 reps
 135-lb. thrusters, 12 reps
 135-lb. sumo deadlift high pulls, 15 reps
 135-lb. thrusters, 9 reps
 135-lb. sumo deadlift high pulls, 9 reps; Post time to comments.; Compare to 140128."
"http://www.crossfit.com/workout/?page=1","For time:
 15-ft. rope climb, 30 ascents; Post time to comments."
"http://www.crossfit.com/workout/?page=1","Rest Day; ""Type 2 diabetes, once considered a disease for adults, is increasingly common in tweens and teens,"" Los Angeles Times.; Post thoughts to comments."
"http://www.crossfit.com/workout/?page=1","Wes; For time:
 Run 800 meters with a 25-lb. plate
 Then, 14 rounds of:
 5 strict pull-ups
 4 burpee box jumps, 24-in. box
 3 cleans, 185 lb.
 Then, run 800 meters with a 25-lb. plate; Post time to comments."
"http://www.crossfit.com/workout/?page=1","On the C2 rower, 10 rounds of:
 Pull a sub-1:30/500-m pace for as long as possible
 Rest 1 minute; Post time maintained each round to comments.; Scale pace time as needed."
"http://www.crossfit.com/workout/?page=1","Back squat 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 160929."
"http://www.crossfit.com/workout/?page=1","Rest Day; ""Tackling Weight Loss and Diabetes With Video Chats,"" The New York Times.; Post thoughts to comments."
"http://www.crossfit.com/workout/?page=1","5 rounds for time of:
 225-lb. clean and jerks, 4 reps
 6 bar muscle-ups
 40-ft. handstand walk; Post time to comments."
"http://www.crossfit.com/workout/?page=1","4 rounds for time of:
 15 box jumps, 36-inch box
 Run 400 meters; Post time to comments.; Compare to 150827."
"http://www.crossfit.com/workout/?page=1","30-20-10 reps for time of:
 35-lb. dumbbell thrusters
 Toes-to-bars; Post time to comments."
"http://www.crossfit.com/workout/?page=1","Rest Day; ""Coca-Cola’s secret influence on medical and science journalists,"" The bmj.; Post thoughts to comments."
"http://www.crossfit.com/workout/?page=1","Complete as many rounds as possible in 20 minutes of:
 Run 400 meters
 15 L pull-ups
 15 hip extensions; Post rounds completed to comments.; Compare to 081217."
"http://www.crossfit.com/workout/?page=1","Deadlift 3-3-3-3-3 reps; Post loads to comments.; Compare to 160824."
"http://www.crossfit.com/workout/?page=1","Complete as many rounds as possible in 15 minutes of:
 21 GHD sit-ups
 14 one-arm dumbbell push jerks; Use a single, heavy dumbbell and alternate arms each rep.; Post rounds completed and dumbbell weight to comments."
"http://www.crossfit.com/workout/?page=1","Rest Day; ""Joël Robuchon Believes Healthy Food Is the Future of Fine Dining,"" Vice.; Post thoughts to comments."
"http://www.crossfit.com/workout/?page=1","6-9-12-9-6 reps for time of:
 Burpees over the bar
 185-lb. front squats
 Chest-to-bar pull-ups; Post time to comments."
